spot_name,hand,fold_freq,call_freq,raise_freq,best_action,ev
btn-open-vs-bb-defend-srp-01-hero_betting,9s5s,0,0.8505684,0.1494316,call,0.22038575
btn-open-vs-bb-defend-srp-01-hero_betting,Ts5s,0,0.7694209,0.23057908,call,0.30566448
btn-open-vs-bb-defend-srp-01-hero_betting,Js5s,0,0.76916504,0.23083496,call,0.32516056
btn-open-vs-bb-defend-srp-01-hero_betting,Qs5s,0,0.707016,0.292984,call,0.39855784
btn-open-vs-bb-defend-srp-01-hero_betting,Kc5s,0,0.8118229,0.18817712,call,2.0450997
btn-open-vs-bb-defend-srp-01-hero_betting,Kh5s,0,0.8309911,0.16900893,call,2.033813
btn-open-vs-bb-defend-srp-01-hero_betting,Ks5s,0,0.79961854,0.20038147,call,3.1483283
btn-open-vs-bb-defend-srp-01-hero_betting,Ac5s,0,0.9891201,0.010879849,call,4.470562
btn-open-vs-bb-defend-srp-01-hero_betting,Ad5s,0,0.9880064,0.011993592,call,4.4612484
btn-open-vs-bb-defend-srp-01-hero_betting,Ah5s,0,0.98916644,0.010833574,call,4.4193783
btn-open-vs-bb-defend-srp-01-hero_betting,6d6c,0,0.69392395,0.30607605,call,0.7035446
btn-open-vs-bb-defend-srp-01-hero_betting,6h6c,0,0.7178302,0.28216982,call,0.66672957
btn-open-vs-bb-defend-srp-01-hero_betting,6s6c,0,0.68808556,0.3119144,call,0.7113409
btn-open-vs-bb-defend-srp-01-hero_betting,7c6c,0,0.8684977,0.13150226,call,0.18738489
btn-open-vs-bb-defend-srp-01-hero_betting,8c6c,0,0.9782257,0.021774292,call,0.16576305
btn-open-vs-bb-defend-srp-01-hero_betting,9c6c,0,0.9799655,0.020034485,call,0.16487582
btn-open-vs-bb-defend-srp-01-hero_betting,Tc6c,0,0.8358892,0.16411078,call,0.22131933
btn-open-vs-bb-defend-srp-01-hero_betting,Jc6c,0,0.86854553,0.13145447,call,0.2357764
btn-open-vs-bb-defend-srp-01-hero_betting,Qc6c,0,0.7533532,0.24664684,call,0.28271258
btn-open-vs-bb-defend-srp-01-hero_betting,Kc6c,0,0.91189575,0.08810425,call,2.8010204
btn-open-vs-bb-defend-srp-01-hero_betting,Kh6c,0,0.8005951,0.1994049,call,1.9042015
btn-open-vs-bb-defend-srp-01-hero_betting,Ks6c,0,0.7920469,0.20795313,call,1.9250813
btn-open-vs-bb-defend-srp-01-hero_betting,Ac6c,0,0.9193408,0.08065919,call,5.280273
btn-open-vs-bb-defend-srp-01-hero_betting,Ad6c,0,0.9951019,0.004898071,call,4.480093
btn-open-vs-bb-defend-srp-01-hero_betting,Ah6c,0,0.99514765,0.004852369,call,4.439538
btn-open-vs-bb-defend-srp-01-hero_betting,6h6d,0,0.7120579,0.28794214,call,0.66007125
btn-open-vs-bb-defend-srp-01-hero_betting,6s6d,0,0.6815955,0.31840447,call,0.70624125
btn-open-vs-bb-defend-srp-01-hero_betting,7d6d,0,0.83200073,0.16799927,call,0.20632142
btn-open-vs-bb-defend-srp-01-hero_betting,8d6d,0,0.9324188,0.06758118,call,0.18053845
btn-open-vs-bb-defend-srp-01-hero_betting,9d6d,0,0.93449503,0.06550498,call,0.17974588
btn-open-vs-bb-defend-srp-01-hero_betting,Td6d,0,0.8033782,0.19662176,call,0.24573149
btn-open-vs-bb-defend-srp-01-hero_betting,Jd6d,0,0.83099365,0.16900635,call,0.26598296
btn-open-vs-bb-defend-srp-01-hero_betting,Qd6d,0,0.72831726,0.27168274,call,0.3455349
btn-open-vs-bb-defend-srp-01-hero_betting,Kc6d,0,0.7971771,0.20282291,call,1.9237413
btn-open-vs-bb-defend-srp-01-hero_betting,Kh6d,0,0.80575264,0.19424735,call,1.907703
btn-open-vs-bb-defend-srp-01-hero_betting,Ks6d,0,0.79920655,0.20079346,call,1.9285315
btn-open-vs-bb-defend-srp-01-hero_betting,Ac6d,0,0.9950714,0.004928589,call,4.50385
btn-open-vs-bb-defend-srp-01-hero_betting,Ad6d,0,0.9877163,0.0122837,call,5.391007
btn-open-vs-bb-defend-srp-01-hero_betting,Ah6d,0,0.9949951,0.005004883,call,4.458825
btn-open-vs-bb-defend-srp-01-hero_betting,6s6h,0,0.705623,0.29437706,call,0.6675426
btn-open-vs-bb-defend-srp-01-hero_betting,7h6h,0,0.9999542,4.57764E-05,call,0.086586304
btn-open-vs-bb-defend-srp-01-hero_betting,8h6h,0,0.9999542,4.5775E-05,call,0.06816755
btn-open-vs-bb-defend-srp-01-hero_betting,9h6h,0,0.9999695,3.05176E-05,call,0.07082058
btn-open-vs-bb-defend-srp-01-hero_betting,Th6h,0,0.996521,0.003479004,call,0.11995841
btn-open-vs-bb-defend-srp-01-hero_betting,Jh6h,0,0.99217224,0.007827759,call,0.120734856
btn-open-vs-bb-defend-srp-01-hero_betting,Qh6h,0,0.9096541,0.09034591,call,0.12922949
btn-open-vs-bb-defend-srp-01-hero_betting,Kc6h,0,0.786462,0.21353802,call,1.8808447
btn-open-vs-bb-defend-srp-01-hero_betting,Kh6h,0,0.80086976,0.19913024,call,1.8677615
btn-open-vs-bb-defend-srp-01-hero_betting,Ks6h,0,0.7901579,0.20984207,call,1.8861573
btn-open-vs-bb-defend-srp-01-hero_betting,Ac6h,0,0.99414045,0.005859554,call,4.4195013
btn-open-vs-bb-defend-srp-01-hero_betting,Ad6h,0,0.99354553,0.006454468,call,4.413032
btn-open-vs-bb-defend-srp-01-hero_betting,Ah6h,0,0.9936522,0.006347753,call,4.374242
btn-open-vs-bb-defend-srp-01-hero_betting,7s6s,0,0.84165955,0.15834045,call,0.20757753
btn-open-vs-bb-defend-srp-01-hero_betting,8s6s,0,0.951828,0.048171997,call,0.18034644
